comp_id,subject_id,apn,address,city,zip,submarket,sale_date,sale_price,gla_sqft,lot_sqft,year_built,beds,baths,garage_spaces,pool,condition_rating,quality_rating,view_rating,dom,concessions,distance_miles,sale_type
CMP-0011,SUBJ-001,501-56-887,18207 N Vista Ln,Surprise,85379,Surprise - Marley Park,2026-08-05,455200,1857,5800,2009,5,3.0,3,0,C3,Q5,N,28,0,2.52,Arms length
CMP-0012,SUBJ-001,501-38-609,12763 W Gambit Trl,Surprise,85379,Surprise - Marley Park,2025-10-10,428300,1711,9900,2016,4,3.5,3,1,C3,Q3,N,34,9500,0.5,Arms length
CMP-0013,SUBJ-001,501-49-370,14500 W Gambit Trl,Surprise,85379,Surprise - Marley Park,2026-05-16,451500,2019,8100,2015,5,2.0,2,0,C3,Q3,N,37,3500,1.78,REO
CMP-0014,SUBJ-001,501-20-191,16261 W Gambit Trl,Surprise,85379,Surprise - Marley Park,2026-02-13,412300,1724,5800,2003,3,2.5,2,1,C2,Q3,N,45,3500,1.33,Arms length
CMP-0015,SUBJ-001,501-26-191,13884 W Gambit Trl,Surprise,85379,Surprise - Marley Park,2025-11-07,558200,2491,12500,2007,3,3.5,2,0,C3,Q5,B,38,0,0.47,Arms length
CMP-0016,SUBJ-001,501-88-727,13409 N Cotton Ln,Surprise,85379,Surprise - Marley Park,2025-12-01,476900,2152,12500,2016,4,3.5,2,0,C4,Q3,N,41,9500,1.44,Arms length
CMP-0017,SUBJ-001,501-57-501,15436 W Calavar Rd,Surprise,85379,Surprise - Marley Park,2026-02-02,512500,2261,5800,2013,3,2.0,2,0,C4,Q2,N,24,3500,0.68,Arms length
CMP-0018,SUBJ-001,501-80-170,13388 N Vista Ln,Surprise,85379,Surprise - Marley Park,2026-07-25,474200,1965,12500,2003,4,2.5,3,1,C5,Q4,N,28,9500,0.92,Arms length
CMP-0019,SUBJ-001,501-28-870,16369 N Sunrise Blvd,Surprise,85379,Surprise - Marley Park,2025-10-06,544500,2404,9900,2005,4,3.5,2,1,C2,Q3,N,30,9500,1.54,Arms length
CMP-0020,SUBJ-001,501-50-742,18637 N Vista Ln,Surprise,85379,Surprise - Marley Park,2025-11-19,445300,1985,9900,2005,3,2.5,2,0,C5,Q3,N,69,3500,0.72,Arms length
CMP-0021,SUBJ-001,501-70-431,12581 N Saguaro Dr,Surprise,85379,Surprise - Marley Park,2026-01-06,569000,2397,6400,2004,3,3.5,2,0,C4,Q2,B,24,0,1.88,Arms length
CMP-0022,SUBJ-001,501-10-287,17946 N Vista Ln,Surprise,85379,Surprise - Marley Park,2026-05-30,480800,2153,8100,2006,3,2.0,2,0,C3,Q3,B,13,9500,1.49,Arms length
CMP-0023,SUBJ-001,501-81-804,17788 W Calavar Rd,Surprise,85379,Surprise - Marley Park,2026-01-12,438000,1949,5800,2006,4,2.0,2,0,C4,Q3,N,34,9500,0.18,Arms length
CMP-0024,SUBJ-001,501-51-250,12129 N Sunrise Blvd,Surprise,85379,Surprise - Marley Park,2026-08-08,399400,1731,5800,2017,5,2.0,2,0,C4,Q5,A,23,0,0.68,Arms length
CMP-0025,SUBJ-001,501-66-830,15254 W Gambit Trl,Surprise,85379,Surprise - Marley Park,2026-04-02,520600,2299,7000,2014,3,3.0,3,0,C4,Q5,N,32,0,0.81,REO
CMP-0026,SUBJ-001,501-89-861,12472 W Calavar Rd,Surprise,85379,Surprise - Marley Park,2026-08-04,419900,1838,12500,2005,3,2.5,3,0,C3,Q4,B,48,0,0.26,REO
CMP-0027,SUBJ-001,501-89-305,12760 W Sweetwater Ave,Surprise,85379,Surprise - Marley Park,2026-02-13,485400,2078,8100,2005,3,2.0,2,0,C4,Q3,A,25,6000,1.2,Arms length
CMP-0028,SUBJ-001,501-70-409,16932 W Aster Dr,Surprise,85379,Surprise - Marley Park,2026-08-15,515600,2093,12500,2006,4,3.5,2,1,C3,Q3,A,8,0,0.41,Arms length
CMP-0029,SUBJ-002,501-56-405,15892 N Vista Ln,Surprise,85374,Surprise - Sun City Grand,2026-08-09,378700,1569,5800,2004,5,3.0,2,0,C2,Q3,N,23,0,1.58,Arms length
CMP-0030,SUBJ-002,501-24-334,13122 W Calavar Rd,Surprise,85374,Surprise - Sun City Grand,2025-12-08,416100,1698,5800,1996,4,3.5,3,0,C4,Q5,N,50,0,1.37,Relocation
CMP-0031,SUBJ-002,501-72-785,15160 N Vista Ln,Surprise,85374,Surprise - Sun City Grand,2026-03-31,523500,2115,6400,1997,3,3.0,2,1,C4,Q4,N,43,0,0.99,Arms length
CMP-0032,SUBJ-002,501-59-897,13032 W Melinda Ln,Surprise,85374,Surprise - Sun City Grand,2025-12-05,420400,1765,7000,1991,4,2.0,3,0,C2,Q3,B,26,0,0.49,REO
CMP-0033,SUBJ-002,501-30-444,15173 N Cotton Ln,Surprise,85374,Surprise - Sun City Grand,2025-10-15,538300,2183,5800,1996,4,2.5,2,1,C4,Q2,N,45,6000,1.87,Arms length
CMP-0034,SUBJ-002,501-13-864,12825 W Melinda Ln,Surprise,85374,Surprise - Sun City Grand,2026-05-09,453400,1933,8100,1999,5,2.0,2,0,C4,Q5,N,64,3500,0.31,Arms length
CMP-0035,SUBJ-002,501-62-377,14908 N Cotton Ln,Surprise,85374,Surprise - Sun City Grand,2026-01-11,437300,1782,5800,1995,5,2.5,2,0,C5,Q3,N,70,6000,1.5,Arms length
CMP-0036,SUBJ-002,501-72-558,18359 W Gambit Trl,Surprise,85374,Surprise - Sun City Grand,2026-03-20,462800,1908,8100,2002,4,3.5,2,0,C4,Q4,N,40,9500,2.3,Arms length
CMP-0037,SUBJ-002,501-10-325,17762 W Sweetwater Ave,Surprise,85374,Surprise - Sun City Grand,2026-02-10,589500,2274,6400,1989,4,2.0,3,0,C4,Q3,N,47,9500,1.33,Arms length
CMP-0038,SUBJ-002,501-51-876,14951 N 163rd Dr,Surprise,85374,Surprise - Sun City Grand,2025-11-29,524600,2275,6400,1989,4,3.5,2,0,C4,Q3,B,36,9500,0.27,Arms length
CMP-0039,SUBJ-002,501-41-294,14766 N 163rd Dr,Surprise,85374,Surprise - Sun City Grand,2026-04-17,418800,1754,8100,1999,3,2.5,3,0,C2,Q2,B,55,6000,0.73,Arms length
CMP-0040,SUBJ-002,501-24-685,13504 N Sunrise Blvd,Surprise,85374,Surprise - Sun City Grand,2026-06-06,350700,1497,7000,2001,3,3.5,2,0,C3,Q3,B,45,0,1.86,Arms length
CMP-0041,SUBJ-002,501-30-157,17871 N Cotton Ln,Surprise,85374,Surprise - Sun City Grand,2026-01-26,390600,1645,12500,1993,5,2.5,2,0,C4,Q3,A,39,0,0.86,Arms length
CMP-0042,SUBJ-002,501-31-636,15696 W Melinda Ln,Surprise,85374,Surprise - Sun City Grand,2026-03-19,434600,1626,8100,1999,4,3.5,2,1,C4,Q2,B,41,0,1.1,Arms length
CMP-0043,SUBJ-002,501-13-609,15776 N Vista Ln,Surprise,85374,Surprise - Sun City Grand,2025-11-05,402700,1721,12500,1989,4,3.0,2,0,C3,Q4,A,30,0,0.47,Arms length
CMP-0044,SUBJ-002,501-66-815,17511 N Cotton Ln,Surprise,85374,Surprise - Sun City Grand,2026-04-23,363100,1525,9900,1989,5,2.0,2,0,C4,Q5,N,40,0,0.63,Relocation
CMP-0045,SUBJ-002,501-80-220,15801 W Melinda Ln,Surprise,85374,Surprise - Sun City Grand,2026-02-03,568600,2103,12500,1992,4,3.0,3,1,C2,Q3,N,55,0,1.0,Arms length
CMP-0046,SUBJ-002,501-76-207,18256 W Calavar Rd,Surprise,85374,Surprise - Sun City Grand,2025-10-28,554700,2289,5800,1993,3,3.5,3,1,C4,Q3,A,47,9500,0.99,REO
CMP-0047,SUBJ-002,501-42-811,18535 W Melinda Ln,Surprise,85374,Surprise - Sun City Grand,2025-10-23,351700,1531,12500,1996,3,3.0,2,0,C3,Q4,N,49,6000,0.59,Arms length
CMP-0048,SUBJ-002,501-60-665,17552 N 163rd Dr,Surprise,85374,Surprise - Sun City Grand,2026-01-23,455800,1977,8100,2002,4,2.5,2,0,C4,Q5,N,4,3500,0.49,Arms length
CMP-0049,SUBJ-002,501-57-510,14094 W Calavar Rd,Surprise,85374,Surprise - Sun City Grand,2026-02-23,418800,1648,12500,1994,4,2.0,2,1,C5,Q3,A,15,0,0.58,REO
CMP-0050,SUBJ-002,501-66-570,16211 W Gambit Trl,Surprise,85374,Surprise - Sun City Grand,2026-03-30,443500,1721,8100,1992,4,2.0,2,1,C4,Q3,B,47,6000,0.45,Arms length
CMP-0051,SUBJ-002,501-46-889,18038 W Melinda Ln,Surprise,85374,Surprise - Sun City Grand,2026-08-04,378000,1506,9900,1994,3,3.0,2,0,C4,Q5,N,16,3500,0.28,Arms length
CMP-0052,SUBJ-002,501-69-317,12765 N Sunrise Blvd,Surprise,85374,Surprise - Sun City Grand,2026-08-07,367100,1494,9900,2003,4,3.5,3,0,C2,Q3,B,44,0,1.11,Arms length
CMP-0053,SUBJ-002,501-70-498,13272 W Aster Dr,Surprise,85374,Surprise - Sun City Grand,2026-07-17,486600,1770,9900,2004,5,2.0,3,1,C4,Q5,N,34,0,0.91,Arms length
CMP-0054,SUBJ-002,501-56-588,14081 W Sweetwater Ave,Surprise,85374,Surprise - Sun City Grand,2026-05-12,362900,1509,8100,2004,3,3.5,2,0,C2,Q5,A,43,0,0.15,Arms length
CMP-0055,SUBJ-002,501-73-485,15289 W Aster Dr,Surprise,85374,Surprise - Sun City Grand,2026-08-05,530500,2086,5800,2000,4,3.0,2,0,C3,Q3,A,38,0,0.83,REO
CMP-0056,SUBJ-002,501-52-158,16148 N Saguaro Dr,Surprise,85374,Surprise - Sun City Grand,2025-12-11,438600,1922,12500,1990,4,3.0,2,0,C4,Q5,N,36,3500,2.19,Arms length
CMP-0057,SUBJ-003,501-59-748,13623 W Gambit Trl,Peoria,85383,Peoria - Vistancia,2026-08-15,562800,2118,12500,2014,4,2.0,2,0,C4,Q3,A,46,0,0.77,Arms length
CMP-0058,SUBJ-003,501-35-737,18837 W Calavar Rd,Peoria,85383,Peoria - Vistancia,2025-10-20,415500,1748,8100,2010,5,3.5,2,0,C3,Q3,N,29,9500,0.08,Arms length
CMP-0059,SUBJ-003,501-72-173,14032 N Saguaro Dr,Peoria,85383,Peoria - Vistancia,2026-01-14,537500,2278,8100,2006,4,2.0,2,0,C5,Q4,A,50,6000,1.82,Arms length
CMP-0060,SUBJ-003,501-10-270,12467 W Calavar Rd,Peoria,85383,Peoria - Vistancia,2026-06-21,497900,1764,8100,2006,3,2.5,2,1,C3,Q3,A,34,0,1.09,Arms length
CMP-0061,SUBJ-003,501-25-654,16499 N 163rd Dr,Peoria,85383,Peoria - Vistancia,2026-08-04,615700,2295,7000,2016,3,3.5,2,0,C4,Q5,B,12,0,0.44,Arms length
CMP-0062,SUBJ-003,501-43-140,12056 N Cotton Ln,Peoria,85383,Peoria - Vistancia,2026-08-01,430100,1616,12500,2006,3,3.5,2,0,C4,Q2,A,13,3500,0.2,REO
CMP-0063,SUBJ-003,501-19-369,17890 W Melinda Ln,Peoria,85383,Peoria - Vistancia,2026-05-29,502600,2027,9900,2013,3,3.5,2,0,C3,Q4,N,15,0,1.25,Short sale
CMP-0064,SUBJ-003,501-71-721,14461 N Vista Ln,Peoria,85383,Peoria - Vistancia,2025-10-25,554800,2160,5800,2015,4,3.5,2,0,C3,Q3,N,18,0,0.25,Arms length
CMP-0065,SUBJ-003,501-56-873,16564 N Sunrise Blvd,Peoria,85383,Peoria - Vistancia,2026-04-12,633400,2289,8100,2003,3,3.0,3,1,C4,Q3,N,30,3500,0.74,REO
CMP-0066,SUBJ-003,501-52-540,14971 W Gambit Trl,Peoria,85383,Peoria - Vistancia,2026-04-30,407300,1593,7000,2007,4,2.0,2,1,C4,Q4,A,29,0,1.03,Arms length
CMP-0067,SUBJ-003,501-82-421,15924 N Sunrise Blvd,Peoria,85383,Peoria - Vistancia,2025-10-10,517100,2009,8100,2014,4,3.0,2,1,C3,Q3,B,27,9500,0.18,Arms length
CMP-0068,SUBJ-003,501-23-426,15140 N Cotton Ln,Peoria,85383,Peoria - Vistancia,2025-12-27,458200,1903,8100,2010,4,2.0,3,0,C4,Q2,N,26,3500,0.11,Arms length
CMP-0069,SUBJ-003,501-79-819,15235 W Aster Dr,Peoria,85383,Peoria - Vistancia,2026-01-05,558900,2289,5800,2017,3,2.0,3,0,C5,Q3,B,32,6000,1.63,Arms length
CMP-0070,SUBJ-003,501-77-304,13001 N Sunrise Blvd,Peoria,85383,Peoria - Vistancia,2026-03-08,485500,1979,9900,2004,5,3.5,3,0,C4,Q3,N,20,9500,0.19,Arms length
CMP-0071,SUBJ-003,501-78-648,18804 W Gambit Trl,Peoria,85383,Peoria - Vistancia,2026-04-14,538500,2236,9900,2004,3,2.0,3,0,C3,Q5,B,42,0,1.71,Arms length
CMP-0072,SUBJ-003,501-63-502,12035 N Saguaro Dr,Peoria,85383,Peoria - Vistancia,2026-03-09,528300,2222,9900,2007,4,2.0,2,0,C4,Q3,N,31,0,0.94,Arms length
CMP-0073,SUBJ-003,501-33-745,14589 N 163rd Dr,Peoria,85383,Peoria - Vistancia,2026-07-03,570800,2086,12500,2008,4,3.0,3,1,C5,Q3,A,11,6000,0.72,Arms length
CMP-0074,SUBJ-003,501-22-329,12098 W Aster Dr,Peoria,85383,Peoria - Vistancia,2026-07-06,578100,2241,12500,2010,3,3.5,3,0,C4,Q5,N,28,3500,1.45,Short sale
CMP-0075,SUBJ-003,501-21-346,13133 N 163rd Dr,Peoria,85383,Peoria - Vistancia,2026-06-21,402600,1543,12500,2017,3,2.5,2,1,C5,Q2,N,39,9500,0.87,Arms length
CMP-0076,SUBJ-003,501-15-880,14549 W Gambit Trl,Peoria,85383,Peoria - Vistancia,2026-07-17,494600,1834,12500,2010,4,2.0,2,1,C3,Q5,A,4,3500,2.08,Arms length
CMP-0077,SUBJ-003,501-12-822,17556 W Sweetwater Ave,Peoria,85383,Peoria - Vistancia,2026-01-10,388800,1599,9900,2002,3,2.5,2,0,C5,Q4,N,15,3500,0.74,Arms length
CMP-0078,SUBJ-003,501-18-713,17830 N Vista Ln,Peoria,85383,Peoria - Vistancia,2026-02-09,428300,1783,5800,2011,4,2.0,2,0,C2,Q3,N,32,3500,0.76,Arms length
CMP-0079,SUBJ-003,501-61-500,12470 W Aster Dr,Peoria,85383,Peoria - Vistancia,2026-03-07,505300,1899,7000,2015,4,2.5,2,1,C3,Q5,N,22,0,0.81,Arms length
CMP-0080,SUBJ-003,501-41-831,16825 W Melinda Ln,Peoria,85383,Peoria - Vistancia,2026-04-04,370700,1523,5800,2017,3,3.5,3,0,C3,Q4,N,5,6000,1.44,Arms length
CMP-0081,SUBJ-003,501-76-127,18221 N 163rd Dr,Peoria,85383,Peoria - Vistancia,2026-06-24,466100,1651,9900,2007,4,2.0,2,1,C3,Q2,N,38,6000,1.44,REO
CMP-0082,SUBJ-003,501-15-795,13400 N Vista Ln,Peoria,85383,Peoria - Vistancia,2026-07-18,510200,1929,12500,2005,3,3.0,2,1,C2,Q2,N,18,0,1.44,Arms length
CMP-0083,SUBJ-003,501-85-863,13307 W Calavar Rd,Peoria,85383,Peoria - Vistancia,2026-02-17,440300,1623,7000,2002,4,3.0,2,1,C4,Q2,B,20,0,2.06,Arms length
CMP-0084,SUBJ-003,501-38-807,13267 W Sweetwater Ave,Peoria,85383,Peoria - Vistancia,2026-05-20,438200,1561,12500,2002,3,3.5,2,1,C2,Q3,A,9,9500,0.28,REO
CMP-0085,SUBJ-004,501-89-256,18463 N Sunrise Blvd,Goodyear,85338,Goodyear - Estrella,2025-10-10,391900,1960,5800,2019,4,3.0,2,0,C2,Q4,B,50,9500,1.05,Arms length
CMP-0086,SUBJ-004,501-42-344,13460 N Vista Ln,Goodyear,85338,Goodyear - Estrella,2026-04-20,453900,2134,8100,2022,3,3.0,2,0,C4,Q5,N,15,0,1.34,REO
CMP-0087,SUBJ-004,501-73-755,12956 W Gambit Trl,Goodyear,85338,Goodyear - Estrella,2025-12-26,422400,2023,7000,2021,5,2.0,2,0,C4,Q5,N,66,3500,1.19,Arms length
CMP-0088,SUBJ-004,501-50-795,16011 W Calavar Rd,Goodyear,85338,Goodyear - Estrella,2026-03-11,450900,2130,6400,2021,3,3.5,2,0,C4,Q5,N,37,6000,1.87,Arms length
CMP-0089,SUBJ-004,501-19-367,15145 W Gambit Trl,Goodyear,85338,Goodyear - Estrella,2025-11-16,343700,1653,5800,2022,4,2.0,3,0,C3,Q3,N,34,3500,0.71,Arms length
CMP-0090,SUBJ-004,501-63-588,15372 W Sweetwater Ave,Goodyear,85338,Goodyear - Estrella,2025-10-07,308400,1507,7000,2012,4,2.5,2,0,C3,Q5,N,46,0,0.5,REO
CMP-0091,SUBJ-004,501-57-213,15882 N Sunrise Blvd,Goodyear,85338,Goodyear - Estrella,2026-06-20,356100,1614,6400,2020,5,2.0,2,0,C2,Q3,A,38,0,0.55,Arms length
CMP-0092,SUBJ-004,501-60-548,13900 W Sweetwater Ave,Goodyear,85338,Goodyear - Estrella,2026-04-03,435800,1987,8100,2024,4,2.0,2,0,C3,Q5,N,46,6000,0.67,Arms length
CMP-0093,SUBJ-004,501-47-584,13923 N Saguaro Dr,Goodyear,85338,Goodyear - Estrella,2026-01-12,430000,1931,7000,2012,5,3.0,2,1,C5,Q2,B,53,0,0.11,Short sale
CMP-0094,SUBJ-004,501-23-216,15720 N Vista Ln,Goodyear,85338,Goodyear - Estrella,2025-12-31,476600,2161,12500,2026,4,2.5,3,0,C4,Q2,N,36,6000,1.83,Arms length
CMP-0095,SUBJ-004,501-72-262,17516 N Sunrise Blvd,Goodyear,85338,Goodyear - Estrella,2026-05-19,459900,2161,8100,2023,4,3.0,2,0,C2,Q2,N,30,0,0.73,Relocation
CMP-0096,SUBJ-004,501-86-858,17222 N Vista Ln,Goodyear,85338,Goodyear - Estrella,2026-06-23,507800,2270,12500,2015,5,2.5,2,0,C4,Q5,A,64,0,1.44,Arms length
CMP-0097,SUBJ-004,501-65-771,17719 N Vista Ln,Goodyear,85338,Goodyear - Estrella,2026-03-11,462400,2046,12500,2018,5,2.0,2,0,C4,Q3,N,64,9500,1.19,Short sale
CMP-0098,SUBJ-004,501-89-254,16985 W Gambit Trl,Goodyear,85338,Goodyear - Estrella,2026-05-15,362600,1599,8100,2016,3,3.5,2,0,C3,Q4,N,57,6000,0.68,Arms length
CMP-0099,SUBJ-004,501-72-423,18706 N Vista Ln,Goodyear,85338,Goodyear - Estrella,2026-04-15,345700,1534,5800,2019,4,2.5,2,0,C3,Q3,N,61,0,1.79,Arms length
CMP-0100,SUBJ-004,501-15-572,16930 N 163rd Dr,Goodyear,85338,Goodyear - Estrella,2026-05-21,460100,1959,7000,2023,3,2.5,2,1,C3,Q2,B,69,3500,1.19,Arms length
CMP-0101,SUBJ-004,501-66-147,15645 N Vista Ln,Goodyear,85338,Goodyear - Estrella,2026-01-03,363800,1708,12500,2020,5,2.5,2,0,C3,Q3,A,5,0,0.92,Arms length
CMP-0102,SUBJ-004,501-83-176,15814 W Calavar Rd,Goodyear,85338,Goodyear - Estrella,2026-08-07,316700,1470,8100,2022,4,2.0,2,0,C3,Q2,N,42,0,1.01,Relocation
CMP-0103,SUBJ-004,501-45-180,13742 N 163rd Dr,Goodyear,85338,Goodyear - Estrella,2026-04-08,348100,1588,8100,2025,4,3.0,3,0,C3,Q4,N,43,9500,0.64,Arms length
CMP-0104,SUBJ-004,501-35-258,12049 W Gambit Trl,Goodyear,85338,Goodyear - Estrella,2026-03-12,445400,2091,6400,2014,5,2.0,3,0,C3,Q5,N,47,9500,1.35,Arms length
CMP-0105,SUBJ-004,501-46-579,18567 W Melinda Ln,Goodyear,85338,Goodyear - Estrella,2025-10-27,456600,2190,12500,2024,3,2.5,2,0,C3,Q2,B,67,3500,2.25,Arms length
CMP-0106,SUBJ-004,501-17-659,12394 W Aster Dr,Goodyear,85338,Goodyear - Estrella,2026-04-07,466300,1982,6400,2020,4,2.0,3,1,C4,Q5,A,55,6000,0.65,REO
CMP-0107,SUBJ-004,501-64-582,13547 W Melinda Ln,Goodyear,85338,Goodyear - Estrella,2026-04-13,419800,1891,9900,2022,4,2.0,3,0,C4,Q3,B,39,3500,1.48,Arms length
CMP-0108,SUBJ-004,501-88-299,12390 N Vista Ln,Goodyear,85338,Goodyear - Estrella,2026-02-12,514600,2123,6400,2018,4,2.0,2,1,C3,Q2,B,50,0,0.65,Arms length
CMP-0109,SUBJ-004,501-86-341,16420 N Sunrise Blvd,Goodyear,85338,Goodyear - Estrella,2026-05-22,376400,1554,5800,2026,3,3.0,3,1,C4,Q5,N,55,0,1.41,REO
CMP-0110,SUBJ-004,501-40-123,17492 N 163rd Dr,Goodyear,85338,Goodyear - Estrella,2025-11-11,374000,1732,12500,2027,3,3.5,3,0,C4,Q3,N,59,0,1.58,Arms length
CMP-0111,SUBJ-004,501-29-391,12714 W Melinda Ln,Goodyear,85338,Goodyear - Estrella,2026-04-05,506600,2287,5800,2020,4,2.5,2,0,C4,Q3,B,47,0,1.1,Arms length
CMP-0112,SUBJ-004,501-44-638,17860 W Gambit Trl,Goodyear,85338,Goodyear - Estrella,2026-04-18,477100,1943,5800,2014,4,2.0,2,1,C4,Q5,A,61,3500,1.5,Arms length
CMP-0113,SUBJ-005,501-68-714,15518 N Vista Ln,Glendale,85308,Glendale - Arrowhead,2026-06-26,727300,2709,6400,2020,3,3.0,2,1,C3,Q3,N,43,9500,0.65,Arms length
CMP-0114,SUBJ-005,501-70-684,15942 W Sweetwater Ave,Glendale,85308,Glendale - Arrowhead,2026-05-14,704400,2902,8100,2015,5,3.5,2,1,C4,Q5,N,34,0,0.78,REO
CMP-0115,SUBJ-005,501-14-877,15880 N Saguaro Dr,Glendale,85308,Glendale - Arrowhead,2026-06-01,667700,2791,5800,2015,4,2.0,2,1,C5,Q3,N,31,6000,1.41,Short sale
CMP-0116,SUBJ-005,501-45-606,12110 W Calavar Rd,Glendale,85308,Glendale - Arrowhead,2026-04-18,785600,3035,7000,2023,4,3.5,2,1,C3,Q2,N,41,0,0.9,Arms length
CMP-0117,SUBJ-005,501-52-581,17357 N 163rd Dr,Glendale,85308,Glendale - Arrowhead,2026-08-11,669600,2847,7000,2023,3,3.5,3,0,C4,Q3,A,34,6000,1.19,Arms length
CMP-0118,SUBJ-005,501-88-738,12950 N 163rd Dr,Glendale,85308,Glendale - Arrowhead,2026-04-22,599000,2485,9900,2027,4,2.5,2,0,C5,Q3,B,44,9500,1.54,Arms length
CMP-0119,SUBJ-005,501-58-802,17643 W Calavar Rd,Glendale,85308,Glendale - Arrowhead,2026-05-17,728700,3028,7000,2025,4,3.5,2,1,C4,Q3,N,50,6000,1.38,Arms length
CMP-0120,SUBJ-005,501-34-732,17081 W Melinda Ln,Glendale,85308,Glendale - Arrowhead,2026-02-14,586700,2536,5800,2014,3,3.0,3,0,C3,Q5,N,20,9500,0.47,Arms length
CMP-0121,SUBJ-005,501-85-565,16361 N Saguaro Dr,Glendale,85308,Glendale - Arrowhead,2026-02-12,682400,2804,7000,2015,4,2.5,2,0,C4,Q2,N,61,9500,1.43,Short sale
CMP-0122,SUBJ-005,501-27-632,17391 W Aster Dr,Glendale,85308,Glendale - Arrowhead,2026-02-28,656300,2577,12500,2018,5,2.0,2,1,C3,Q3,N,16,0,1.52,Arms length
CMP-0123,SUBJ-005,501-41-544,18703 W Aster Dr,Glendale,85308,Glendale - Arrowhead,2026-05-28,779400,3151,8100,2012,3,3.0,2,0,C4,Q4,N,28,9500,0.37,Arms length
CMP-0124,SUBJ-005,501-32-804,13376 N 163rd Dr,Glendale,85308,Glendale - Arrowhead,2026-03-21,670000,2686,5800,2023,3,2.5,3,0,C4,Q4,N,17,0,0.13,Arms length
CMP-0125,SUBJ-005,501-53-508,14073 W Aster Dr,Glendale,85308,Glendale - Arrowhead,2025-10-27,572300,2350,5800,2026,3,2.0,2,0,C5,Q3,A,35,6000,1.34,Arms length
CMP-0126,SUBJ-005,501-72-106,14520 N 163rd Dr,Glendale,85308,Glendale - Arrowhead,2026-01-01,689000,2727,6400,2026,5,2.0,2,1,C3,Q4,N,14,0,1.58,Arms length
CMP-0127,SUBJ-005,501-17-739,16355 W Calavar Rd,Glendale,85308,Glendale - Arrowhead,2026-08-09,697100,2715,7000,2018,4,2.0,2,0,C3,Q3,N,23,0,0.76,Relocation
CMP-0128,SUBJ-005,501-83-396,18274 N Saguaro Dr,Glendale,85308,Glendale - Arrowhead,2026-03-20,701800,3096,9900,2013,3,3.0,2,0,C5,Q3,N,12,6000,0.28,Arms length
CMP-0129,SUBJ-005,501-22-448,18587 N Saguaro Dr,Glendale,85308,Glendale - Arrowhead,2025-10-12,740100,2989,8100,2025,3,2.0,2,0,C2,Q5,B,45,0,2.01,Arms length
CMP-0130,SUBJ-005,501-32-654,16828 N Cotton Ln,Glendale,85308,Glendale - Arrowhead,2025-10-14,692700,3067,9900,2012,5,3.5,2,0,C4,Q2,A,35,3500,1.28,Arms length
CMP-0131,SUBJ-005,501-56-877,18998 N Sunrise Blvd,Glendale,85308,Glendale - Arrowhead,2026-03-31,586900,2522,7000,2017,4,3.0,2,0,C5,Q3,N,54,6000,1.13,Relocation
CMP-0132,SUBJ-005,501-73-287,16527 W Sweetwater Ave,Glendale,85308,Glendale - Arrowhead,2026-01-08,658200,2803,7000,2012,4,3.5,2,1,C3,Q5,N,39,0,0.83,Arms length
